Go.,Geh.
How did Tom get to be so rich?,Wie ist Tom so reich geworden?
How did Tom manage to do that?,Wie hat Tom das geschafft?
How did you come by the money?,Wie bist du an das Geld gekommen?
How did you come to hear that?,"Wie kommt's, dass du davon gehört hast?"
How did you come to know this?,Woher weißt du das?
How did you come to know this?,Wie hast du das erfahren?
How did you come to know this?,Wie habt ihr das erfahren?
How did you come to know this?,Wie haben Sie das erfahren?
How did you come to know this?,Woher wisst ihr das?
How did you come to know this?,Woher wissen Sie das?
How did you get into my house?,Wie kommst du in mein Haus?
How did you get into my house?,Wie kommen Sie in mein Haus?
How did you get into our room?,Wie bist du in unser Zimmer gekommen?
How did you get into our room?,Wie seid ihr in unser Zimmer gekommen?
How did you get into our room?,Wie sind Sie in unser Zimmer gekommen?
How did you get into our room?,Wie bist du in unseren Raum gelangt?
How did you get that nickname?,Wie bist du denn zu dem Spitznamen gekommen?
How did you get your nickname?,Wie bist du an deinen Spitznamen gekommen?
How did you get your nickname?,Wie kamst du an deinen Spitznamen?
How did you know I was hungry?,"Woher wusstest du, dass ich Hunger hatte?"
How did you know Tom was here?,"Woher wusstest du, dass Tom hier ist?"
How did you know Tom was here?,"Woher wussten Sie, dass Tom hier ist?"
How did you know Tom was sick?,"Woher wusstest du, dass Tom krank ist?"
How did you know Tom was sick?,"Woher wusstest du, dass Tom krank war?"
How did you know we were here?,"Woher wusstest du, dass wir hier sind?"
How did you manage to do that?,Wie hast du das geschafft?
How did you manage to do this?,Wie ist dir das gelungen?
How did you manage to do this?,Wie ist Ihnen das gelungen?
How did you meet your husband?,Wie hast du deinen Mann kennengelernt?
How did you meet your husband?,Wie haben Sie Ihren Mann kennengelernt?
How did you solve the problem?,Wie hast du das Problem gelöst?
How did you spend your summer?,Wie hast du den Sommer verbracht?
How did you spend your summer?,Wie haben Sie den Sommer verbracht?
How did you spend your summer?,Wie habt ihr den Sommer verbracht?
How do you cope with the heat?,Wie kommst du mit der Hitze zurecht?
How do you feel at the moment?,Wie fühlst du dich in diesem Moment?
How do you intend to fix this?,Wie gedenkst du das zu reparieren?
How do you know Tom has a dog?,"Woher weißt du, dass Tom einen Hund hat?"
How do you say that in French?,Wie sagt man das auf Französisch?
How do you say this in French?,Wie sagt man das auf Französisch?
How do you suggest we proceed?,"Wie schlägst du vor, dass wir weitermachen sollen?"
How do you think Tom is doing?,"Was denkst du, geht es Tom?"
How do you think they'd do it?,"Wie denkst du, würden sie es tun?"
How do you want me to do that?,Wie soll ich das machen?
How do you want me to do that?,"Wie willst du, dass ich das mache?"
How is your last name written?,Wie wird dein Nachname geschrieben?
How is your last name written?,Wie schreibt sich Ihr Nachname?
How is your last name written?,Wie schreibt man Ihren Familiennamen?
How is your last name written?,Wie wird Ihr Familienname geschrieben?
How is your last name written?,Wie wird dein Familienname geschrieben?
How is your last name written?,Wie schreibt man deinen Nachnamen?
"How long are you in town, Tom?","Wie lange bist du in der Stadt, Tom?"
How long are you staying here?,Wie lange werdet ihr hierbleiben?
How long can I keep this book?,Wie lange kann ich dieses Buch behalten?
How long did the surgery take?,Wie lange hat die Operation gedauert?
How long did you work for Tom?,Wie lange hast du für Tom gearbeitet?
How long did you work for Tom?,Wie lange haben Sie für Tom gearbeitet?
How long did you work for Tom?,Wie lange hast du bei Tom gearbeitet?
How long did you work for Tom?,Wie lange haben Sie bei Tom gearbeitet?
How long did you work for Tom?,Wie lange habt ihr für Tom gearbeitet?
How long did you work for Tom?,Wie lange habt ihr bei Tom gearbeitet?
How long do you want to do it?,Wie lange willst du das machen?
How long does it take on foot?,Wie lang dauert es zu Fuß?
How long does it take on foot?,Wie lange braucht man zu Fuß?
How long has Tom been missing?,Wie lange wird Tom schon vermisst?
How long have they been there?,Wie lange sind sie schon da?
How long have they been there?,Wie lange sind sie schon dort?
How long have we been friends?,Wie lange sind wir schon befreundet?
How long have you been abroad?,Wie lange bist du schon im Ausland?
How long have you been abroad?,Wie lange seid ihr schon im Ausland?
How long have you been abroad?,Wie lange sind Sie schon im Ausland?
How long have you been dating?,Wie lange seid ihr schon zusammen?
How long have you been dating?,Wie lange sind Sie schon zusammen?
How long have you lived there?,Wie lange hast du dort gelebt?
How long have you lived there?,Seit wann wohnen Sie dort?
How long have you lived there?,Seit wann wohnt ihr dort?
How long have you worked here?,Wie lange arbeitest Du schon hier?
How long was Tom in the water?,Wie lange war Tom im Wasser?
How long will the flight last?,Wie lange wird der Flug dauern?
How long will this rain go on?,Wie lange wird dieser Regen andauern?
How long will we have to wait?,Wie lange werden wir warten müssen?
How long's Tom been in Boston?,Wie lange ist Tom schon in Boston?
How long's that going to take?,Wie lange wird das dauern?
How long's this going to take?,Wie lange wird das dauern?
How many aspirin did you take?,Wie viele Aspirin hast du genommen?
How many brothers do you have?,Wie viele Brüder hast du?
How many brothers do you have?,Wie viele Brüder habt ihr?
How many brothers do you have?,Wie viele Brüder haben Sie?
How many children do you have?,Wie viele Kinder haben Sie?
How many children do you have?,Wie viele Kinder hast du?
How many copies have you sold?,Wie viele Exemplare haben Sie verkauft?
How many ex-wives do you have?,Wie viele Exfrauen hast du?
How many foreigners work here?,Wie viele Ausländer arbeiten hier?
How many girls have you dated?,Mit wie vielen Mädels warst du schon zusammen?
How many hamburgers are there?,Wie viele Hamburger sind da?
How many of us get the chance?,Wie viele von uns bekommen die Chance?
How many of you are there now?,Wie viel von euch sind jetzt dort?
How many people have you told?,Wie vielen Leuten hast du’s gesagt?
How many people were involved?,Wie viele Personen waren beteiligt?
How many people will be there?,Wie viele Leute werden dort sein?
How many pianos does Tom have?,Wie viele Klaviere hat Tom denn?
How many pictures did you buy?,Wie viele Bilder hast du gekauft?
How many points did you score?,Wie viele Punkte hast du erreicht?
How many presents did you get?,Wie viele Geschenke hast du bekommen?
How many siblings do you have?,Wie viele Geschwister hast du?
How many sisters do they have?,Wie viele Schwestern haben sie?
How many survivors were there?,Wie viele Überlebende gab es?
"How may I help you today, sir?","Wie kann ich Ihnen heute helfen, mein Herr?"
How much are the strawberries?,Was kosten die Erdbeeren?
How much aspirin did you take?,Wie viele Aspirin haben Sie genommen?
How much did all of this cost?,Was hat das alles gekostet?
How much did our trip cost us?,Wieviel hat unsere Reise uns gekostet?
How much did the glasses cost?,Wie viel hat die Brille gekostet?
How much did the tickets cost?,Wie viel haben die Fahrkarten gekostet?
How much did you pay for that?,Wie viel hast du dafür bezahlt?
How much did you pay for that?,Wie viel haben Sie dafür bezahlt?
How much did you pay for that?,Wie viel habt ihr dafür bezahlt?
How much did you pay for this?,Wie viel hast du dafür bezahlt?
How much did you pay for this?,Wie viel habt ihr dafür bezahlt?
How much do a dozen eggs cost?,Wie viel kostet ein Dutzend Eier?
How much do a dozen eggs cost?,Wie viel kostet das Dutzend Eier?
How much do you earn per week?,Was verdienst du in der Woche?
How much do you feed your dog?,Wie viel fütterst du deinem Hund?
How much do you have invested?,Wie viel hast du investiert?
How much is that all together?,Was macht das alles zusammen?
How much is this handkerchief?,Wie viel kostet dieses Taschentuch?
How much weight have you lost?,Wie viel Gewicht hast du verloren?
How much weight have you lost?,Wie viel Gewicht haben Sie verloren?
How much weight have you lost?,Wie viel Gewicht habt ihr verloren?
How often do you go to Boston?,Wie oft gehst du nach Boston?
How often do you speak French?,Wie oft sprichst du Französisch?
How often do you speak French?,Wie oft sprecht ihr Französisch?
How often do you speak French?,Wie oft sprechen Sie Französisch?
How often do you wear jewelry?,Wie oft trägst du Schmuck?
How old are your children now?,Wie alt sind deine Kinder jetzt?
How old are your children now?,Wie alt sind eure Kinder jetzt?
How old are your children now?,Wie alt sind Ihre Kinder jetzt?
How old is your little sister?,Wie alt ist deine kleine Schwester?
How old will you be next year?,Wie alt wirst du nächstes Jahr?
How old will you be next year?,Wie alt werden Sie nächstes Jahr sein?
How old will you be next year?,Wie alt werdet ihr nächstes Jahr sein?
How should that be understood?,Wie soll man das verstehen?
How should we understand this?,Wie soll man das verstehen?
How small a screw do you need?,"Wie klein muss die Schraube sein, die du brauchst?"
How sure are you it's not Tom?,"Wie sicher bist du dir denn, dass es sich nicht um Tom handelt?"
How sure are you it's not Tom?,"Wie sicher seid ihr euch denn, dass es sich nicht um Tom handelt?"
How sure are you it's not Tom?,"Wie sicher sind Sie sich denn, dass es sich nicht um Tom handelt?"
How was the weather yesterday?,Wie war gestern das Wetter?
How was the weather yesterday?,Wie war das Wetter gestern?
How was the weather yesterday?,Wie ist das Wetter gestern gewesen?
How well do you know your son?,Wie gut kennst du deinen Sohn?
How well do you know your son?,Wie gut kennen Sie Ihren Sohn?
How well do you know your son?,Wie gut kennt ihr euren Sohn?
How will we pay our debts now?,Wie sollen wir jetzt unsere Schulden bezahlen?
How will you travel to Boston?,Wie kommst du nach Boston?
How would I know where Tom is?,"Wie sollte ich wissen, wo Tom ist?"
How would you like your steak?,Wie möchten Sie Ihr Steak?
How young do you think Tom is?,"Was denkst du, wie jung Tom ist?"
How young do you think Tom is?,"Was denken Sie, wie jung Tom ist?"
Humans can't live without air.,Menschen können ohne Luft nicht leben.
"Hurry up, or you will be late.","Beeil dich, sonst kommst du zu spät."
"Hurry, Tom, or you'll be late.","Beeil dich, Tom, sonst kommst du zu spät."
I accompanied him on the trip.,Ich begleitete ihn auf der Reise.
I actually did that by myself.,Das habe ich in der Tat allein gemacht.
I actually did that yesterday.,Das habe ich in der Tat gestern schon getan.
I actually did that yesterday.,Das habe ich gestern schon gemacht.
I added your name to the list.,Ich habe deinen Namen mit auf die Liste gesetzt.
I admire his skill at driving.,Ich bewundere seine Fahrkünste.
I admire you for your courage.,Ich bewundere deinen Mut.
I admire you for your courage.,Ich bewundere dich für deinen Mut.
I admire you for your courage.,Ich bewundere euch für euren Mut.
I admire you for your courage.,Ich bewundere Sie für Ihren Mut.
I advised her to come by 9:00.,"Ich riet ihr, spätestens um neun Uhr dazusein."
I agreed with him on the plan.,"Ich war mit ihm, den Plan betreffend, einer Meinung."
I almost didn't recognize you.,Ich habe dich fast nicht erkannt.
I almost hit a telephone pole.,Ich wäre beinahe gegen einen Telefonmasten gefahren.
I almost kissed Tom yesterday.,Gestern hätte ich Tom fast geküsst.
I almost never work on Monday.,Ich arbeite fast nie am Montag.
I already know how to do that.,"Ich weiß bereits, wie man das macht."
I already know where you live.,"Ich weiß bereits, wo du wohnst."
I already told Tom everything.,Ich habe Tom schon alles gesagt.
I always enjoy being with you.,Ich bin immer gerne mit dir zusammen.
I always go to school on foot.,Ich gehe immer zu Fuß zur Schule.
I always have something to do.,Ich habe immer etwas zu tun.
I always liked playing soccer.,"Es hat mir schon immer gefallen, Fußball zu spielen."
I always made my mother proud.,Ich habe meine Mutter immer stolz gemacht.
I always pay the rent on time.,Ich zahle die Miete immer pünktlich.
I always wanted to have a dog.,Ich wollte schon immer einen Hund haben.
I am 4 years younger than him.,Ich bin vier Jahre jünger als er.
I am a student of this school.,Ich besuche diese Schule.
I am a student of this school.,Ich bin ein Schüler dieser Schule.
I am a very good chess player.,Ich bin ein sehr guter Schachspieler.
I am afraid that it will rain.,"Ich fürchte, es wird regnen."
I am ashamed of your behavior.,Ich bin beschämt über Ihr Verhalten.
"I am being paranoid, aren't I?","Ich bin paranoid, oder?"
I am concerned for her safety.,Ich sorge mich um ihre Sicherheit.
I am convinced of his honesty.,Ich bin von seiner Ehrlichkeit überzeugt.
I am deeply interested in art.,Ich interessiere mich sehr für Kunst.
I am disappointed at the news.,Ich bin enttäuscht über die Nachricht.
I am happy to hear your voice.,"Ich freue mich, deine Stimme zu hören."
I am happy to hear your voice.,"Ich freue mich, Ihre Stimme zu hören."
I am happy with my girlfriend.,Ich bin glücklich mit meiner Freundin.
I am interested in this story.,Ich bin an dieser Geschichte interessiert.
I am looking for an assistant.,Ich suche einen Assistenten.
I am looking for an assistant.,Ich suche eine Assistentin.
I am never at home on Sundays.,Ich bin sonntags nie zuhause.
I am never at home on Sundays.,Ich bin sonntags nie zu Hause.
"I am seventeen years old, too.",Ich bin auch siebzehn.
"I am seventeen years old, too.",Ich bin auch siebzehn Jahre alt.
I am sorry if I disturbed you.,"Es tut mir leid, wenn ich dich gestört habe."
I am the tallest in our class.,Ich bin der Größte in meiner Klasse.
I am the tallest in our class.,Ich bin der Größte in der Klasse.
I am the tallest in our class.,Ich bin der Größte in unserer Klasse.
I am thinking of going abroad.,"Ich überlege, ins Ausland zu gehen."
I am well acquainted with him.,Ich kenne ihn gut.
I apologize if I offended you.,"Ich bitte um Entschuldigung, falls ich dich beleidigt habe."
I appreciate your cooperation.,Ich bin für Ihre Zusammenarbeit dankbar.
I arrived ahead of the others.,Ich bin vor den anderen angekommen.
I arrived here before you did.,Ich war vor dir hier.
I arrived here three days ago.,Ich bin vor drei Tagen hier angekommen.
I asked Mary to dance with me.,"Ich bat Maria, mit mir zu tanzen."
I asked Tom if he was nervous.,"Ich fragte Tom, ob er nervös sei."
I asked Tom the same question.,Ich stellte Tom dieselbe Frage.
I asked Tom to clean his room.,"Ich bat Tom, sein Zimmer aufzuräumen."
I asked Tom to close the door.,"Ich bat Tom, die Tür zu schließen."
I asked Tom to close the door.,"Ich bat Tom, die Tür zuzumachen."
I asked Tom to help out today.,"Ich habe Tom gebeten, heute auszuhelfen."
I asked Tom to help out today.,"Ich habe Tom darum gebeten, heute auszuhelfen."
I asked Tom where he got that.,"Ich hab Tom gefragt, wo er das herhat."
I asked Tom where he got that.,"Ich fragte Tom, wo er das herhabe."
I asked Tom where he had been.,"Ich fragte Tom, wo er gewesen sei."
I asked Tom where he had gone.,"Ich fragte Tom, wohin er gegangen sei."
I asked him to be here by six.,"Ich bat ihn, bis um sechs hier zu sein."
I asked him what his name was.,Ich fragte ihn nach seinem Namen.
I asked him what his name was.,"Ich fragte ihn, wie er heiße."
I assume Tom is up to no good.,"Ich nehme an, Tom führt nichts Gutes im Schilde."
I assume you can speak French.,"Ich nehme an, du kannst französisch sprechen."
I assume you can speak French.,"Ich gehe davon aus, dass du französisch sprechen kannst."
I assume you can speak French.,"Ich nehme an, ihr könnt französisch sprechen."
I assume you can speak French.,"Ich gehe davon aus, dass ihr französisch sprechen könnt."
I assume you can speak French.,"Ich nehme an, Sie können französisch sprechen."
I assume you can speak French.,"Ich gehe davon aus, dass Sie französisch sprechen können."
I ate breakfast in my pajamas.,Ich frühstückte im Schlafanzug.
I ate breakfast on my balcony.,Ich habe auf dem Balkon gefrühstückt.
I ate it because I was hungry.,"Ich habe ihn gegessen, weil ich Hunger hatte."
I ate it because I was hungry.,"Ich habe es gegessen, weil ich Hunger hatte."
I ate the last slice of bread.,Ich habe die letzte Scheibe Brot gegessen.
I ate too much food yesterday.,Ich habe gestern zu viel gegessen.
I awoke to find myself famous.,Ich wachte auf und war berühmt geworden.
I baked these cookies for you.,Ich habe diese Kekse für dich gebacken.
I believe I made myself clear.,"Ich habe mich, denke ich, deutlich genug ausgedrückt."
I believe it'll snow tomorrow.,"Ich glaube, es schneit morgen."
I believe it'll snow tomorrow.,"Ich glaube, es wird morgen schneien."
I believe that he is innocent.,Ich halte ihn für unschuldig.
I believe that it can be done.,"Ich glaube, dass man kann."
I believe the choice is clear.,"Ich glaube, die Entscheidung ist klar."
I believed every word he said.,Ich glaubte ihm jedes Wort.
I belong to the baseball team.,Ich gehöre zum Baseballteam.
I bet we'll have a test today.,"Ich wette, wir schreiben heute einen Test."
I booked us an earlier flight.,Ich habe uns einen früheren Flug gebucht.
I borrowed this book from him.,Ich habe mir dieses Buch von ihm geliehen.
I bought a bag of frozen corn.,Ich habe eine Packung Tiefkühlmais gekauft.
I bought a book about animals.,Ich habe ein Buch über Tiere gekauft.
I bought a book about animals.,Ich kaufte ein Buch über Tiere.
I bought a new pair of gloves.,Ich habe ein neues Paar Handschuhe gekauft.
I bought a new pair of gloves.,Ich habe mir neue Handschuhe gekauft.
I bought a new sewing machine.,Ich habe eine neue Nähmaschine gekauft.
I bought it in a thrift store.,Ich habe das in einem Gebrauchtwarenladen gekauft.
I bought it with my own money.,Ich habe es von meinem eigenen Geld gekauft.
I bought some cheese and milk.,Ich habe Käse und ein bisschen Milch gekauft.
I bought this T-shirt on sale.,Ich habe dieses T-Shirt im Angebot gekauft.
I bought this book for myself.,Dieses Buch habe ich für mich selbst gekauft.
I bought this shirt yesterday.,Ich habe dieses Hemd gestern gekauft.
I brought you another blanket.,Ich habe dir noch eine Bettdecke gebracht.
I brush my teeth after eating.,Ich putze mir nach dem Essen die Zähne.
I called Tom a few more times.,Ich habe Thomas noch ein paar mal angerufen.
I came as soon as I found out.,"Ich kam sofort, nachdem ich es herausgefunden hatte."
I can be there in ten minutes.,Ich kann in zehn Minuten dort sein.
I can defeat any chess player.,Ich kann jeden Schachspieler schlagen.
I can do that faster than you.,Das kann ich schneller als du.
I can eat anything but onions.,"Ich kann alles essen, nur keine Zwiebeln."
I can no longer remain silent.,Ich kann nicht länger schweigen.
I can only stay a few minutes.,Ich kann nur ein paar Minuten bleiben.
I can recommend a good doctor.,Ich kann einen guten Arzt empfehlen.
I can recommend a good lawyer.,Ich kann einen guten Anwalt empfehlen.
I can scarcely sleep at night.,Ich kann des Nachts kaum ein Auge zutun.
I can scarcely sleep at night.,Ich kann des Nachts kaum schlafen.
I can see our house from here.,Ich kann unser Haus von hier aus sehen.
I can see the house from here.,Ich kann das Haus von hier aus sehen.
I can smell something cooking.,"Ich kann riechen, dass hier gekocht wird."
I can still remember that day.,Ich kann mich noch immer an den Tag erinnern.
I can walk at least two miles.,Ich kann mindestens zwei Meilen weit laufen.
I can't afford to pay so much.,"Ich kann es mir nicht leisten, so viel zu bezahlen."
I can't afford to play tennis.,"Ich kann es mir nicht leisten, Tennis zu spielen."
I can't bear the pain anymore.,Ich kann den Schmerz nicht mehr aushalten.
I can't bear the pain anymore.,Ich kann den Schmerz nicht länger ertragen.
I can't bear the sight of him.,Ich kann seinen Anblick nicht ertragen.
I can't bear to work with him.,Ich ertrage die Zusammenarbeit mit ihm nicht.
I can't believe Tom said that.,"Ich kann nicht glauben, dass Tom das gesagt hat."
I can't believe they hired me.,"Ich kann gar nicht glauben, dass ich eingestellt wurde!"
I can't call anyone right now.,Ich kann gerade niemanden anrufen.
I can't come because I'm sick.,"Ich kann nicht kommen, weil ich krank bin."
I can't communicate in French.,Ich kann mich auf Französisch nicht verständigen.
I can't depend on you anymore.,Ich kann mich nicht mehr auf dich verlassen.
I can't do any more than that.,Mehr als das kann ich nicht tun.
I can't do any more than this.,Mehr als dieses kann ich nicht machen.
I can't do any more than this.,Mehr als das kann ich nicht tun.
I can't do this all by myself.,Ich schaffe das nicht alles allein.
I can't do two things at once.,Ich kann nicht zwei Sachen gleichzeitig machen.
I can't eat this kind of food.,Ich kann diese Art Nahrung nicht essen.
I can't eat this kind of food.,Ich kann diese Art Lebensmittel nicht essen.
I can't ever be what you were.,"Ich kann nie sein, was du gewesen bist."
I can't explain what happened.,"Ich kann nicht erklären, was passiert ist."
I can't find any garbage bags.,Ich finde keine Mülltüten.
I can't find the light switch.,Ich kann den Lichtschalter nicht finden.
I can't get in touch with Tom.,Ich kann Tom nicht erreichen.
I can't get the door unlocked.,Ich kriege die Tür nicht auf.
I can't get work as a teacher.,Ich finde keine Anstellung als Lehrer.
I can't go back to that house.,Ich kann nicht zu dem Haus zurück.
I can't go back to the jungle.,Ich kann nicht in den Urwald zurückgehen.
I can't go on living this lie.,Ich kann diese Lüge nicht weiter leben.
I can't leave work until five.,Ich komme nicht vor fünf von der Arbeit weg.
I can't lend this book to you.,Ich kann euch das Buch nicht ausleihen.
I can't lend this book to you.,Ich kann dir dieses Buch nicht leihen.
I can't let that happen again.,"Ich darf nicht zulassen, dass das noch einmal passiert."
I can't lie like this anymore.,Ich kann so nicht weiterlügen.
I can't live this way anymore.,Ich kann so nicht mehr leben.
I can't live this way anymore.,So kann ich nicht mehr leben.
I can't live with you anymore.,Ich kann nicht mehr mit dir leben.
I can't order Tom to be happy.,"Ich kann Tom nicht befehlen, glücklich zu sein."
I can't play guitar very well.,Ich kann nicht allzu gut Gitarre spielen.
I can't play tennis that well.,Ich spiele nicht so gut Tennis.
I can't play tennis that well.,Ich kann nicht so gut Tennis.
I can't postpone my departure.,Ich kann meine Abreise nicht aufschieben.
I can't put up with the noise.,Ich halte diesen Lärm nicht aus.
I can't really talk right now.,Ich kann jetzt wirklich nicht reden.
I can't remember how to do it.,"Ich kann mich nicht erinnern, wie man das macht."
I can't remember writing this.,"Ich kann mich nicht erinnern, das geschrieben zu haben."
I can't run as fast as he can.,Ich kann nicht so schnell laufen wie er.
I can't see a way out of this.,Ich sehe keinen Ausweg aus dieser Lage.
I can't see a way out of this.,Ich kann keinen Ausweg aus dieser Lage erkennen.
I can't see a way out of this.,Ich sehe keinen Weg hier heraus.
I can't see what the hurry is.,Ich erkenne den Grund dieser Eile nicht.
I can't speak French fluently.,Ich kann nicht fließend Französisch.
I can't speak for anyone else.,Ich kann für niemand anders sprechen.
I can't talk to Tom right now.,Ich kann jetzt gerade nicht mit Tom reden.
I can't tell you about it now.,Ich kann dir jetzt nicht davon berichten.
I can't tell you what I think.,"Ich kann dir nicht sagen, was ich denke."
I can't wait to hug you again.,"Ich kann es nicht erwarten, dich wieder zu umarmen."
I can't wait to see you again.,"Ich kann es kaum erwarten, dich wiederzusehen."
I cannot do without this book.,Ich komme nicht ohne dieses Buch aus.
I cannot do without this book.,Auf das Buch kann ich nicht verzichten.
I cannot read without glasses.,Ich kann nicht ohne Brille lesen.
I cannot read without glasses.,Ohne Brille kann ich nicht lesen.
I cannot read without glasses.,Ich kann ohne Brille nicht lesen.
I carelessly dropped the vase.,Ich habe die Vase unvorsichtigerweise fallen gelassen.
I caught a bad cold last week.,Ich habe mir letzte Woche eine üble Erkältung zugezogen.
I caught a big fish yesterday.,Gestern habe ich einen großen Fisch gefangen.
I caught the first train home.,Ich habe den ersten Zug nach Hause genommen.
I caught three fish yesterday.,Ich habe gestern drei Fische gefangen.
I caught three fish yesterday.,Ich fing gestern drei Fische.
I caused him a lot of trouble.,Ich habe ihm viele Probleme bereitet.
I closed my eyes to calm down.,"Ich schloss meine Augen, um mich zu beruhigen."
I come here as often as I can.,"Ich komme so oft hierher, wie ich kann."
I completely forgot about her.,Die habe ich ganz vergessen.
I consider him a great writer.,Ich halte ihn für einen großen Schriftsteller.
I consider myself a good wife.,"Ich denke schon, dass ich eine gute Ehefrau bin."
I could hardly understand him.,Ich konnte ihn kaum verstehen.
I could have saved Tom's life.,Ich hätte Toms Leben retten können.
I could have saved Tom's life.,Ich hätte Tom das Leben retten können.
I could teach you if you like.,"Ich könnte es dir beibringen, wenn du willst."
I could use a little sympathy.,Etwas Mitgefühl könnte nicht schaden.
I couldn't have done it alone.,Allein hätte ich das nicht geschafft.
I couldn't have done it alone.,Alleine hätte ich das nicht gekonnt.
I couldn't stand Tom at first.,Ich konnte Tom erst nicht ausstehen.
I currently live in Australia.,Ich wohne momentan in Australien.
I currently live in Australia.,Ich wohne im Moment in Australien.
I currently live in Australia.,Ich wohne derzeit in Australien.
I dealt him a blow on the ear.,Ich versetzte ihm einen Schlag aufs Ohr.
I decided not to go to Europe.,"Ich beschloss, nicht nach Europa zu fliegen."
I deleted my Facebook account.,Ich habe mein Facebook-Konto gelöscht.
I did my best to prevent this.,"Ich habe mein Möglichstes getan, um das zu verhindern."
I did something really stupid.,Ich habe eine wirkliche Dummheit begangen.
I did what Tom asked me to do.,"Ich tat, was Tom von mir verlangt hat."
I didn't agree to any of this.,Ich habe mich mit nichts davon einverstanden erklärt.
I didn't ask Tom to come here.,Ich habe Tom nicht darum gebeten herzukommen.
I didn't ask Tom to come here.,"Ich habe Tom nicht darum gebeten, hierherzukommen."
I didn't believe Tom at first.,Ich habe Tom anfangs nicht geglaubt.
I didn't believe him at first.,Anfangs glaubte ich ihm nicht.
I didn't buy anything for Tom.,Ich habe Tom nichts gekauft.
I didn't catch your last name.,Ich habe deinen Nachnamen nicht mitbekommen.
I didn't catch your last name.,Ich habe Ihren Nachnamen nicht mitbekommen.
I didn't eat dinner yesterday.,Ich habe gestern Abend nichts gegessen.
I didn't expect thanks anyway.,Ich erwartete sowieso keinen Dank.
I didn't expect that question.,Diese Frage habe ich nicht erwartet.
I didn't expect this question.,Diese Frage habe ich nicht erwartet.
I didn't expect this question.,Mit dieser Frage habe ich nicht gerechnet.
I didn't expect you to answer.,"Ich habe nicht erwartet, dass du antwortest."
I didn't expect you to answer.,"Ich habe nicht erwartet, dass Sie antworten."
I didn't expect you to answer.,"Ich habe nicht erwartet, dass ihr antwortet."
I didn't find anything at all.,Ich fand überhaupt nichts.
I didn't find it funny at all.,Ich fand das überhaupt nicht witzig.
I didn't give anything to Tom.,Ich habe Tom nichts gegeben.
I didn't have anything to say.,Ich hatte nichts zu sagen.
I didn't have to say it twice.,Das musste ich nicht zweimal sagen.
I didn't hear a word Tom said.,"Ich hab kein Wort gehört von dem, was Tom gesagt hat."
I didn't hear anybody talking.,Ich hörte niemanden reden.
I didn't know Tom had a horse.,"Ich wusste gar nicht, dass Tom ein Pferd hat."
I didn't know Tom was married.,"Ich wusste gar nicht, dass Tom verheiratet ist."
I didn't know Tom would leave.,"Ich wusste nicht, dass Tom weggehen würde."
I didn't know about the party.,Ich wusste nichts von der Feier.
I didn't know about the party.,Ich wusste nichts von der Party.
I didn't know him at the time.,Ich kannte ihn damals nicht.
I didn't know that Tom smoked.,"Ich wusste nicht, dass Tom raucht."
I didn't know what to believe.,"Ich wusste nicht, was ich glauben sollte."
I didn't know what to do next.,"Ich wusste nicht, was ich als nächstes tun sollte."
I didn't know who else to ask.,"Ich wusste nicht, wen ich sonst fragen sollte."
I didn't know you had company.,"Ich wusste nicht, dass du in Gesellschaft bist."
I didn't know you had company.,"Ich wusste nicht, dass Sie in Gesellschaft sind."
I didn't know you knew I knew.,"Ich wusste nicht, dass du wusstest, dass ich das weiß."
I didn't know you needed help.,"Ich wusste nicht, dass du Hilfe brauchtest."
I didn't know you were a poet.,"Ich wusste gar nicht, dass du Dichter bist."
I didn't know you were a poet.,"Ich wusste gar nicht, dass du Dichterin bist."
I didn't know you worked here.,"Ich wusste nicht, dass du hier arbeitest."
I didn't know you'd done that.,"Ich wusste nicht, dass du das getan hast."
I didn't learn this in school.,In der Schule habe ich das nicht gelernt.
I didn't mean to frighten you.,Ich wollte dir keine Angst machen.
I didn't mean to make Tom cry.,Ich wollte Tom nicht zum Weinen bringen.
I didn't mean to make him cry.,"Ich hatte nicht vor, ihn zum Weinen zu bringen."
I didn't pay attention to him.,Ich habe nicht auf ihn geachtet.
I didn't pay attention to him.,Ich habe ihn nicht beachtet.
I didn't promise Tom anything.,Ich habe Tom nichts versprochen.
I didn't really have a choice.,Ich hatte kaum eine Wahl.
I didn't really have a choice.,Ich hatte nicht wirklich eine Wahl.
I didn't receive your message.,Deine Nachricht ist nicht bei mir angekommen.
I didn't recognize that woman.,Ich erkannte diese Frau nicht wieder.
I didn't recognize that woman.,Ich habe diese Frau nicht wiedererkannt.
I didn't recognize your voice.,Ich habe Ihre Stimme nicht erkannt.
I didn't recognize your voice.,Ich habe deine Stimme nicht erkannt.
I didn't recognize your voice.,Ich habe Ihre Stimme nicht wiedererkannt.
I didn't see anyone go inside.,Ich habe niemanden hineingehen sehen.
"I didn't see anything, either.",Ich habe auch nichts gesehen.
I didn't stay there very long.,Ich war nicht lange dort.
I didn't stay there very long.,Ich bin nicht lange dort geblieben.
I didn't tell anyone about it.,Ich habe niemandem davon erzählt.
I didn't tell them everything.,Ich habe denen nicht alles gesagt.
I didn't think Tom would come.,"Ich hätte nicht gedacht, dass Tom käme."
I didn't think you would come.,"Ich hätte nicht gedacht, dass du kämest."
I didn't think you would come.,"Ich hätte nicht gedacht, dass ihr kämet."
